id,track names,artists name,artists id,genres
73XQBWHSVLL1939hb8cQTm,Georgy Girl,The Seekers,7dedWAqd0IKTdCiqiadUrV,traditional folk
5oeFEW0WGSGEdXMDKNI4z4,"You're Sixteen, You're Beautiful (And You're Mine)",Johnny Burnette,3PrFCybHMqrcPls31JxoIl,rockabilly
2S6XOQqWqUBIySUU00vMru,Beggin',Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,rock-and-roll
20wbR4HxNaR4gWjMLQvUp2,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,320EPCSEezHt1rtbfwH6Ck,sunshine pop
601a0vnyLYe7pzLKVjKSha,How Do You Do It? - Mono,Gerry & The Pacemakers,3UmBeGyNwr4iDWi1vTxWi8,rock-and-roll
26FHHkqUgQG9AChc0oq1Ol,Foot Tapper - 2003 Remaster,The Shadows,03hfAxVdAWj7kxDnSG0fLD,rockabilly
2Qm5DrmotzWvqNM3JlcQYo,Let's Dance,Chris Montez,0QRgfCLzSR9GyCjXboWQTA,rock-and-roll
6YffUZJ2R06kyxyK6onezL,Ring of Fire,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,outlaw country
3TETmhGNWOcquUTtcr6RIR,The House of the Rising Sun,The Animals,3ICflSq6ZgYAIrm2CTkfVP,rock-and-roll
0i7O5MtSTXvR4BEY7stpjF,Hang On Sloopy,The McCoys,6etIM3JbzGPxTdfNWWfsVH,merseybeat
23xk9Rf7oIHVUU1JvmXYFn,Mony Mony,Tommy James & The Shondells,01hRNr3yF5bYnPq4wZ88iI,soft rock
0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,The Kingsmen,2iIn8H3l2NNBNHFpYKWbfo,classic garage rock
2CT08rpgdut8qQs7IAzMGi,Friday On My Mind,The Easybeats,1pJEZXU2hJApJW3rM7LmMu,psychedelic rock
1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,traditional folk
5rVj0WJEGMO0WQeX9GG4kh,Bus Stop,The Hollies,6waa8mKu91GjzD4NlONlNJ,soft rock
4j2W1eM03mz5MVN5LvR7VH,These Boots Are Made for Walkin',Nancy Sinatra,3IZrrNonYELubLPJmqOci2,vocal jazz
7EjyzZcbLxW7PaaLua9Ksb,Surfin' Bird,The Trashmen,5QEA3sofVt5QckQA6QX2nN,surf music
7FXuCkl1kfxwS5icDjTwbM,Hard to Handle,Otis Redding,60df5JBRRPcnSpsIMxxwQm,southern soul
4eGHlplaq1ME8oetnTuFFf,Soul Man,Sam & Dave,2BVYdY4PyfCF9z4NrkhEB2,southern soul
19jo0UT2vqD4pNVfIqTy4R,River Deep - Mountain High,Ike & Tina Turner,1ZikppG9dPedbIgMfnfx8k,southern soul
7hbS99uuSAjqwFwcYgUdEV,Carrie Anne,The Hollies,6waa8mKu91GjzD4NlONlNJ,soft rock
0pvA063uNyGQFp7DNtmk0P,Sweet Soul Music,Arthur Conley,10TSIJnyUcowWhpjj59gHB,southern soul
3ZxfehzRtB3oJcBuxWXFZQ,It's Your Thing,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,southern soul
71tjsDvB4EMJqNG8EMmFnb,Comin' Home Baby,Mel Tormé,4X8QFzZ1HqwPfwDfyjtwXC,vocal jazz
1UwriLz98ILbRhrtohTca1,The Wanderer,Dion,15FyiY3ChN0QRspHIQYq0W,rockabilly
5hgei65n0pGJ9uUHo8v2en,Things,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,vocal jazz
3LmpQiFNgFCnvAnhhvKUyI,Stayin' Alive - Remastered Version,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,soft rock
3M5eeHXgG4VplKNcsBC8Dj,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,soul
2ozTcQyZQmm9tSmc4VZfwU,Laughter In The Rain,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,soft rock
2yDQVcj26tpi9IUJhw9xDs,My Eyes Adored You,Frankie Valli,3CDKmzJu6uwEGnPLLZffpD,soft rock
3wpLkju0bJy89kjgdRys0j,September,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,soul
4Vn7TykT27PIygBiZjTR2s,Hotel California - 2013 Remaster,Eagles,0ECwFtbIWEVNwjlrfc6xoL,yacht rock
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,soft rock
3rqXP37YkEnizabzjM7uIu,"You're The First, The Last, My Everything",Barry White,3rfgbfpPSfXY40lzRK7Syt,soul
17arUdDWEinOOVrrVUkEM7,Hold the Line,TOTO,0PFtn5NtBbbUNbU9EAmIWF,yacht rock
5pkd9ib1RgbkAd1R9bIOCa,Cracklin' Rosie - Single Version,Neil Diamond,7mEIug7XUlQHikrFxjTWes,yacht rock
4yrM5BVyJzy5Ed4GPO6e8j,I Wanna Be Your Lover,Prince,5a2EaR3hamoenG9rDuVn8j,synth funk
5LDTnh9Bnzpghb1si4b2BI,Mercy Mercy Me (The Ecology),Marvin Gaye,3koiLjNrgRTNbOwViDipeA,soul
5VJjhHyG8NZ5xdgG6uTb3P,Brick House,Commodores,6twIAGnYuIT1pncMAsXnEm,soul
6H7nDglS6xWpRidbhMwI2L,Here You Come Again,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,country dawn
0HdcunWW5FsRqKr3lwJOIo,Follow You Follow Me - Remastered 2007,Genesis,3CkvROUTQ6nRi9yQOcsB50,symphonic rock
1K1nzhbKCNmrNXi9B07mPF,Forever In Blue Jeans,Neil Diamond,7mEIug7XUlQHikrFxjTWes,yacht rock
19Shlms2uTnOjIUg50TXzd,Never Going Back Again - 2004 Remaster,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,yacht rock
6x959m2QDvatSwUAVCHIuf,Why Can't We Be Friends,War,3ICyfoySNDZqtBVmaBT84I,soul
3n48NtvOovv1UMTA41zxMn,"Bad Girls - 12"" Version",Donna Summer,2eogQKWWoohI3BSnoG7E2U,new wave pop
1v1PV2wERHiMPesMWX0qmO,Flash Light,Parliament,5SMVzTJyKFJ7TUb46DglcH,soul
5qbj8dqll1Kopdku7Ssz9l,Police & Thieves,Junior Murvin,17dXLKGh9AKpooAvGaVt34,ska
4wOKTOwGVrie2GIbCMEe7U,I Am...I Said - Single Version,Neil Diamond,7mEIug7XUlQHikrFxjTWes,yacht rock
1FL9DHDSED6lxNMDJUJQvB,The Model - 2009 Remaster,Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,synthpop
6OBeM4d4RGzxcMphQVSgED,Love Rollercoaster,Ohio Players,6m30rs1IQqnWqV5nKMpU7U,southern soul
4mn7iv4DYJxPYbPy5R0nPE,"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,soul
5spAjqC772iC2KzDvEkmSr,A Song for You,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,vocal jazz
0s1aSsYlLIEiy16LjFWbdp,Dirty Work,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,yacht rock
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,The Marshall Tucker Band,59QxeZBL6k9L4oJBGSyukd,southern rock
58r4JuwHhXLAkttkaUZfLw,Got to Be Real,Cheryl Lynn,6UfoTQXaV3DuqtDVjZIxwZ,urban contemporary
5qPw12iOd2txlJlAvVCRBb,You Are Everything,Diana Ross,3MdG05syQeRYPPcClLaUGl,soul
6mjlbRIgMTf2nqY0kq1rOJ,I'm Your Boogie Man,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,soul
1yeIxOEFmpQ3qlOb2R3g2m,The Ghetto,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,vocal jazz
26VrotMHCu4m9I1rbHB1GN,Shining Star,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,soul
5DQAHkO9U4IZIombHefcqK,Peg,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,yacht rock
0KpMY3D2G8253VTZbDBUmA,Back Stabbers,The O'Jays,38h03gA85YYPeDPd9ER9rT,urban contemporary
4uDJdDSIARqTRf6qZhwYR6,I Just Want To Be Your Everything,Andy Gibb,4YPqbAiLzBg5DIfsgQZ8QK,soft rock
34D6mvDTAPypm92EPs8Rxa,Reminiscing - Remastered,Little River Band,6clbbhnIqpHnqxwtOWcilg,yacht rock
557cxXIeiwh03kI2F2jKdh,Red Light Spells Danger,Billy Ocean,5IDs1CK15HegSAhGEbSYXo,yacht rock
4ZaAmweDaiOpbkLPty81Zw,Make Your Own Kind Of Music - Single Version,Cass Elliot,5jX7X3kRkfJTRqAdT7RcHk,no genre
1tL5a9jowsWMtn3wkFYsG9,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,southern soul
0qOkHfSClduvkvGk6fCu8l,Now That We Found Love,The O'Jays,38h03gA85YYPeDPd9ER9rT,urban contemporary
