id,track names,artists name,artists id,track acousticness,track danceability,track duration_ms,track energy,track instrumentalness,track key,track liveness,track loudness,track mode,track speechiness,track time_signature,track valence,genres
1oDCK7PW72XEZ1pE5rh87A,Smile,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,0.862,0.226,173267,0.136,8.07e-06,5,0.302,-19.203,0,0.0327,5,0.263,adult standards
5wJXbK6be3OUwZHrqEuuaD,Good Golly Miss Molly - Remastered,Little Richard,4xls23Ye9WR9yy3yYMpAMm,0.581,0.57,128640,0.863,0.00412,7,0.313,-10.82,1,0.0526,4,0.909,soul
1j7HyD3cxyYw9bMFevxWyR,Bye Bye Love,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,0.684,0.558,144300,0.556,0.0,9,0.0869,-8.358,1,0.0564,4,0.905,sunshine pop
5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,0.648,0.474,153933,0.338,0.0,0,0.13,-11.528,1,0.0299,4,0.81,rockabilly
3YmELj8vHY6mKIzphgtQlM,Great Balls Of Fire,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,0.554,0.468,116467,0.527,0.0,7,0.061,-13.897,0,0.0683,4,0.855,rockabilly
5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,0.88,0.612,181627,0.144,0.0,6,0.203,-12.204,0,0.0352,4,0.343,lounge
1tu5rCtK0jCLMeoWCYnttf,Twilight Time,The Platters,6KWcxMWVNVIYbdOQyJtsSy,0.869,0.408,164400,0.366,0.0,9,0.267,-10.434,1,0.0296,4,0.294,rockabilly
7KGbqCYWaXdJxhsuilkcwF,It Doesn't Matter Anymore,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.806,0.665,124000,0.179,0.0,7,0.189,-16.727,1,0.0367,4,0.856,rockabilly
6pPr1KLZit9FgFNhp7xE5m,Cheek To Cheek,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,0.588,0.648,351893,0.306,0.0,0,0.252,-13.395,1,0.0883,4,0.661,vocal jazz
50meIWPMuhYgQSXfSsUvtI,"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",The Spaniels,0EkpTQlDjByRT3m4wOsr4P,0.655,0.375,160373,0.318,0.000198,9,0.422,-9.923,0,0.0423,4,0.358,rhythm and blues
14T8UhqU8EaJpp3tRxqJbr,Sea Of Love,Phil Phillips,4RoSFlSfHkTux15j7kUIAc,0.862,0.289,144600,0.353,1.35e-06,7,0.172,-12.302,1,0.0292,4,0.312,swamp pop
3xZe0jFAwc3akvChOrPS7u,You Belong To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,0.945,0.371,192560,0.145,0.0,5,0.112,-14.587,1,0.0315,4,0.167,vocal jazz
7DH5dXVuQaqcKf9oTy9oUN,He'll Have to Go,Jim Reeves,2Ev0e8GUIX4u7d9etNLTXg,0.909,0.554,138640,0.186,0.00144,1,0.11,-15.846,1,0.0379,3,0.2,nashville sound
33aYzW5ToRjiFOzkubeJ8H,Rave On,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,0.611,0.566,109960,0.711,6.59e-06,0,0.417,-6.536,1,0.0335,4,0.961,rockabilly
6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,0.84,0.696,127560,0.21,1.62e-06,4,0.107,-11.922,1,0.067,4,0.717,rockabilly
2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,0.383,0.577,177400,0.306,0.0,9,0.18,-11.559,1,0.0427,4,0.568,lounge
6wO13Xb3EdHUNixFOEJ0KV,Whole Lot of Shakin' Going On,Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,0.832,0.377,172400,0.626,6.46e-05,0,0.188,-9.662,1,0.033,4,0.678,rockabilly
2xNDO4i0qxmkxYptUbxYpx,Blue Skies,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,0.892,0.464,226213,0.391,0.0,0,0.0521,-5.115,1,0.0483,4,0.649,vocal jazz
3BUQFs6aFWh7EFNmI8bfL7,Johnny B. Goode,Chuck Berry,293zczrfYafIItmnmM3coR,0.738,0.516,161560,0.798,0.000128,10,0.305,-9.049,1,0.083,4,0.969,soul
